dt,angle,angle_dt,pwm,pos,pos_dt,source_file
0.051,2.8119,0.0025,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0009,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0027,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.05,2.812,-0.0006,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.812,-0.0014,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0015,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0029,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0003,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0029,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0003,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.05,2.8119,0.0021,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.812,0.0003,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0017,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0017,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.05,2.812,0.0001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.8121,-0.0002,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8122,0.0009,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,-0.0007,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.05,2.8121,-0.0009,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.8121,0.0022,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.05,2.8121,-0.0015,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.812,-0.0021,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.05,2.812,-0.001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0018,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.812,-0.0025,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.05,2.8121,0.0005,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0005,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.812,-0.0009,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,-0.0035,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,0.0015,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,-0.0007,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,-0.0001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0026,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8122,0.0002,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,0.0019,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,0.0029,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,0.0021,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.812,0.0027,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.05,2.8119,-0.0018,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0007,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,-0.0006,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0018,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,-0.0027,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0002,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0018,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0011,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,-0.0006,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,0.0041,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,-0.0009,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8116,-0.0003,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,-0.001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,-0.0038,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,-0.0033,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0005,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,-0.0014,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,-0.0006,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0009,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0035,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0034,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0005,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0003,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0029,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0014,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,-0.0001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0009,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0003,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0001,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0017,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,-0.0007,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8118,0.0006,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.0019,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0011,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0021,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0005,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0011,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,0.0017,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0003,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,-0.003,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0002,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.812,-0.0011,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8408,0.0252,30.0,-0.1247,0.1914,ident_20250910_062016.csv
0.051,2.8639,0.0303,30.0,-0.1099,0.3829,ident_20250910_062016.csv
0.051,2.876,0.0967,30.0,-0.0902,0.4467,ident_20250910_062016.csv
0.052,2.8925,0.4456,30.0,-0.0674,0.3829,ident_20250910_062016.csv
0.051,2.9093,0.2304,30.0,-0.043,0.5105,ident_20250910_062016.csv
0.051,2.9136,0.1101,0.0,-0.0176,0.5105,ident_20250910_062016.csv
0.052,2.8743,-0.2054,0.0,-0.0045,0.1914,ident_20250910_062016.csv
0.051,2.8417,-0.1013,0.0,0.0011,0.0,ident_20250910_062016.csv
